X,,Area (AU),,,,,
,0-50,50-150,150-300,300-800,800-1800,1800-3000,3000-8000
-1424.75,-2271.4645,,,,,,
-920.687,-2514.0585,,,,,,
-1085.062,-2616.2465,,,,,,
-1269.031,-2880.6835,,,,,,
-513.838,2206.9615,,,,,,
-969.626,2202.9615,,,,,,
-765.08,1911.3555,,,,,,
-942.656,1602.6585,,,,,,
-450.656,-282.4325,,,,,,
-366.05,-433.5545,,,,,,
-845.171,-791.463499999999,,,,,,
-499.474,-827.4025,,,,,,
-405.171,-1277.5545,,,,,,
-943.565,-1313.6145,,,,,,
-940.05,-1632.2205,,,,,,
-502.777,-1672.2505,,,,,,
-432.535,-1784.7665,,,,,,
-1178.292,-2410.3415,,,,,,
-44.3910000000001,1564.8035,,,,,,
-987.185,1272.2445,,,,,,
-923.362,192.0975,,,,,,
-722.744,151.5095,,,,,,
-824.862,-174.6965,,,,,,
-315.156,-1077.1085,,,,,,
-153.068,-1126.9905,,,,,,
-1490.803,-1406.3145,,,,,,
-842.127,-1456.5495,,,,,,
-1030.891,-1813.1675,,,,,,
-1140.568,-1991.4315,,,,,,
-1320.332,-2039.8145,,,,,,
-810.215,-2270.9315,,,,,,
-1432.068,-2275.8735,,,,,,
-981.774,-2345.5205,,,,,,
-1382.156,-2439.9315,,,,,,
-411.98,-2797.7555,,,,,,
-1266.038,-2890.5495,,,,,,
-573.77,2454.1405,,,,,,
-430.456,1669.7975,,,,,,
-272.456,1550.4545,,,,,,
-747.799,401.1115,,,,,,
-758.113,398.2545,,,,,,
-179.342,87.9405000000002,,,,,,
-944.799,-71.0024999999996,,,,,,
-788.085,-544.7455,,,,,,
-917.285,-628.4595,,,,,,
-619.142,-851.516499999999,,,,,,
-789.999,-946.7165,,,,,,
86.5729999999999,-1164.4025,,,,,,
-551.427,-1347.9735,,,,,,
-921.085,-1643.7735,,,,,,
-1307.713,-2694.0025,,,,,,
-463.684,2602.6805,,,,,,
-636.156,2050.0415,,,,,,
-764.323,1900.4035,,,,,,
-430.35,1663.1535,,,,,,
-947.573,1609.5695,,,,,,
-722.1,1105.2645,,,,,,
-1285.6,1060.7915,,,,,,
-100.156,-38.6804999999995,,,,,,
-185.823,-190.680499999999,,,,,,
-272.073,-591.9305,,,,,,
-284.684,-604.3745,,,,,,
-377.795,-699.374499999999,,,,,,
-239.35,-1558.0695,,,,,,
-1032.6,-1825.2915,,,,,,
-1207.573,-1826.0965,,,,,,
-1132.712,-1999.5415,,,,,,
-714.85,-2078.4855,,,,,,
-110.332,2634.4355,,,,,,
-221.953,1926.5975,,,,,,
-744.602,1901.2735,,,,,,
-640.278,893.002500000001,,,,,,
-1064.494,881.0565,,,,,,
159.29,707.435500000001,,,,,,
195.966,-808.3755,,,,,,
-818.521,-1147.8075,,,,,,
-1133.656,-1338.4565,,,,,,
-1065.17,-2193.0245,,,,,,
-993.197,-2348.1865,,,,,,
-1004.224,-2349.9435,,,,,,
-994.602,-2373.1325,,,,,,
-1382.17,-2447.7265,,,,,,
-1099.656,1337.5185,,,,,,
-631.156,896.4925,,,,,,
753.265,770.1505,,,,,,
702.87,648.1235,,,,,,
15.9490000000001,607.2025,,,,,,
-944.945,413.886500000001,,,,,,
-924.34,205.0975,,,,,,
-358.577,106.281500000001,,,,,,
-610.998,26.7025000000003,,,,,,
699.344,-325.4285,,,,,,
330.186,-678.9025,,,,,,
-261.261,-840.244499999999,,,,,,
-186.445,-991.7705,,,,,,
-1277.393,-1076.8495,,,,,,
-1170.077,-1546.9815,,,,,,
-256.209,-1554.1395,,,,,,
-1121.551,-1668.6135,,,,,,
-502.209,-1690.8765,,,,,,
-608.656,-2200.9025,,,,,,
-865.603,-2730.5865,,,,,,
-1065.579,2051.0845,,,,,,
-746.348,1318.4695,,,,,,
-1004.477,1280.7255,,,,,,
-987.528,1265.8535,,,,,,
-873.912,878.0335,,,,,,
-427.092,876.7515,,,,,,
109.985,-144.8385,,,,,,
-343.323,-167.8125,,,,,,
-619.451,-242.8645,,,,,,
-703.964,-674.5815,,,,,,
-922.22,-1634.3765,,,,,,
-464.81,-2164.3765,,,,,,
-507.066,-2601.1975,,,,,,
-513.835,-2613.7355,,,,,,
-345.456,1797.5975,,,,,,
-47.9560000000001,1779.7475,,,,,,
-845.656,1772.0975,,,,,,
-655.306,520.0725,,,,,,
36.9189999999999,-535.7775,,,,,,
