,,Y
889,1499.577,1582.953
890,1210.127,1571.407
891,1486.831,1575.975
892,1748.274,1589.072
893,2724.259,1578.8
894,1450.967,1587.018
895,1474.452,1573.548
896,1507.5,1572.5
897,801.137,1589.624
898,1219,1575.286
899,1732.874,1578.023
900,2908.514,1579.243
901,1228.818,1576.364
902,2231.658,1594.886
903,1205.129,1580.823
904,1714.558,1582.666
905,2751.187,1585.968
906,2858.577,1580.731
907,1478.444,1583.218
908,2881.471,1584.082
909,2895.865,1590.989
910,1220.13,1582
911,1708.394,1601.557
912,1468.524,1588.119
913,1488.5,1589.324
914,1731.375,1587.375
915,2855.408,1595.154
916,2911.34,1597.664
917,1211.654,1591.49
918,967.941,1603.317
919,1204.363,1600.73
920,1475.775,1598.316
921,2870.195,1603.251
922,823.391,1614.186
923,1473.16,1611.597
924,2892.84,1611.552
925,997.463,1630.137
926,2876.253,1620.425
927,2908.185,1618.67
928,972.614,1635.445
929,969.845,1616.672
930,2336.465,1627.567
931,948.393,1635.333
932,982.864,1618.591
933,2891.538,1629.029
934,2352.725,1638.005
935,985.224,1631.052
936,2394.243,1644.444
937,2338.5,1637.5
938,2366.698,1647.536
939,2646.942,1653.457
940,2088.73,1651.083
941,1615.207,1647.609
942,2626.067,1656.955
943,2120.424,1656.613
944,2327.42,1661.682
945,1609.216,1652.052
946,971.978,1665.705
947,2408.612,1665.341
948,2355.013,1661.078
949,1593.966,1666.187
950,1356.061,1662.393
951,1583.602,1673.706
952,1607.032,1658.798
953,1622.151,1660.223
954,2134.785,1668.641
955,1636.632,1678.902
956,1823.753,1675.829
957,2093.949,1676.264
958,2103.958,1670.071
959,1603.085,1666.538
960,1620.753,1669.681
961,2810.827,1674.555
962,2375.964,1674.488
963,2618.582,1670.869
964,2349.203,1681.363
965,1337.067,1687.899
966,1850.793,1674.798
967,2792.509,1682.976
968,2646.914,1686.741
969,2823.771,1683.558
970,1354.53,1678.936
971,1381.9,1690.173
972,1608.389,1675.111
973,1617.3,1676.5
974,1364.5,1676
975,1921.5,1674.5
976,2101.649,1695.245
977,2148.741,1693.578
978,2621.082,1685.361
979,2837.547,1689.529
980,1838.696,1686.07
981,1860.609,1685.413
982,2128.968,1683.641
983,1368.111,1684.667
984,2322.285,1698.268
985,1061.383,1693.966
986,1609.042,1689.602
987,1359.25,1690.242
988,2109.364,1687.727
989,2778.089,1692.883
990,1872.67,1706.482
991,2522.5,1687.5
992,716.21,1699.665
993,1830.054,1696.346
994,2127,1695.173
995,1865.819,1697.606
996,1350.113,1697.113
997,1837.806,1711.518
998,2770.952,1704.605
999,1365.74,1700.958
1000,2892.5,1695.5
1001,1104.354,1714.286
1002,2822.124,1716.423
1003,2804.675,1714.073
1004,1375.5,1703.25
1005,1075.521,1720.871
1006,1079.348,1706.485
1007,1352.241,1704.685
1008,1855.811,1708.566
1009,752.232,1721.796
1010,1088.5,1707.5
1011,1356.474,1718.459
1012,1847.5,1710.5
1013,1063.158,1726.124
1014,1086.429,1713.286
1015,708.955,1730.076
1016,2769.216,1721.279
1017,1094.115,1715.346
1018,2019.496,1734.266
1019,1091.107,1725.527
1020,2782.151,1732.897
1021,1098.934,1744.309
1022,2804.977,1739.756
1023,2493.087,1750.74
1024,740.82,1749.715
1025,883.88,1748.572
