Area,vx,vy,vz,Group,Row,Order
125,0.302574147952717,0.905253968848858,-0.298268565011598,11,22,18
125,0.686595712490425,-0.466758364117393,-0.55742529285656,12,23,9
126,0.495867650043319,0.231197105504226,0.83705625381272,3,6,17
126,-0.147743868752143,-0.469486691617577,0.870490663729446,6,12,9
126,-0.123146745839891,-0.992297006081292,0.013473333334781,8,15,15
126,0.498745227049783,0.530942544917929,-0.685093579367909,9,18,4
126,-0.054701753432307,0.68886341876541,0.722824258349332,10,20,10
127,0.061838569504811,0.264846491327243,-0.962305734864574,4,8,17
127,-0.035105421176491,-0.833973391331107,0.55068683655569,6,12,12
127,-0.924495886664953,-0.289896924226729,-0.247521976526257,7,13,8
127,0.386718270393183,0.027690960481039,0.921782072971558,7,14,22
127,-0.286505801287807,-0.394637149153088,0.873026887522231,8,15,12
127,0.127788871126404,-0.978926733571214,0.159287333821097,8,15,23
127,0.923054050868872,-0.329460823639791,0.19856179104036,9,17,8
128,0.079882833545357,-0.057556442944285,-0.995141190374696,2,3,11
128,0.3415906262415,-0.143961576757783,-0.928757723241833,7,13,22
128,-0.054359649682077,0.077363602216443,0.995519915189314,7,14,12
128,0.579019776403899,0.256147418036251,-0.77403139391535,10,19,12
128,0.86186038629658,0.464807931322223,0.202855272331446,11,22,3
129,0.202016595267599,-0.71937314950584,0.664598801538594,2,4,5
129,-0.347177982890714,-0.248782419702199,0.90419840513189,3,6,12
129,-0.62048014915356,-0.054883036880479,0.782299326836699,8,15,23
129,0.918829497157569,0.027655215068965,0.393684574542436,9,18,9
130,0.610265737877014,0.469835252748987,0.637832708825535,2,3,11
130,0.094613473684474,-0.623582764429386,0.776010841743826,3,5,11
130,-0.531951358604682,0.821553719981685,-0.205127368390686,6,11,12
130,-0.056007976375252,-0.465101045932654,-0.883484082287112,6,11,24
130,-0.087352672348178,-0.117709948552023,-0.989198604247657,6,11,24
130,0.855937649124154,0.135981965521404,0.49887838785094,6,12,21
130,0.016947850403286,-0.045448165620409,-0.998822924550918,7,14,16
130,-0.581988857042343,0.726198983517584,-0.365956290582051,8,15,8
130,-0.96561148633033,0.179680241886668,-0.187908137510007,8,15,9
130,0.269806329818517,0.768440455742057,-0.580261846383855,9,17,6
130,-0.682872454681394,0.506922299912182,0.526037063797933,9,18,13
130,-0.388973321261174,-0.325280397663291,-0.861912071062393,11,22,4
130,-0.103665613435822,0.213914279748976,-0.971336255634706,13,25,13
131,0.335226353540296,0.097882050953701,0.937039164599417,3,6,9
131,-0.523567576350181,-0.639205454607302,0.563288007856611,5,9,15
131,0.908616090677227,0.156435313483496,0.387227055430989,6,12,22
131,-0.327665378668009,-0.84474952522083,-0.423123668992331,8,15,5
131,0.076888221783748,0.104051349484655,-0.991595440702182,8,15,21
131,0.10324364096074,0.006877851694974,-0.99463231686751,10,20,8
131,0.129986895713786,-0.334763462410594,0.933293539663467,11,21,3
132,-0.749748357917452,0.658382020590065,0.066411706527,2,4,7
132,0.461877271706842,-0.582178218970065,-0.66913220460346,4,8,9
132,-0.324760140088524,0.76497057396035,-0.556193196995842,4,8,14
132,-0.726650167103711,0.494290654363697,-0.477133402369669,7,14,22
132,-0.002346538823841,-0.005503213889834,0.999982104036083,9,17,5
132,0.074804896826729,0.277742611728702,0.957738622506612,11,21,12
132,0.148605530658303,-0.034610950870406,-0.988290685141578,12,24,8
132,-0.935050509043184,0.350040178044408,-0.056146409437474,13,26,2
133,0.222416970278183,0.431040348700536,-0.87449122872925,3,6,11
133,0.31113275135334,-0.211047638481822,0.926636555142601,5,10,14
